192.168.0.100:54303 - - [22/May/2015 23:56:18] "HTTP/1.1 GET /expenses/" - 200 OK
61.240.144.65:60000 - - [30/May/2015 12:55:24] "HTTP/1.1 GET /" - 404 Not Found
93.174.93.177:39152 - - [31/May/2015 06:08:17] "HTTP/1.1 GET /" - 404 Not Found
93.174.93.177:45102 - - [31/May/2015 06:08:18] "HTTP/1.1 GET /HNAP1" - 404 Not Found
93.174.93.177:43362 - - [31/May/2015 06:08:18] "HTTP/1.1 GET /error_page.htm" - 404 Not Found
93.174.93.177:60049 - - [31/May/2015 06:08:18] "HTTP/1.1 POST /" - 404 Not Found
192.169.249.225:43822 - - [31/May/2015 08:59:29] "HTTP/1.1 HEAD /" - 404 Not Found
95.215.9.222:50000 - - [31/May/2015 10:52:58] "HTTP/1.1 GET /" - 404 Not Found
184.75.32.107:3819 - - [31/May/2015 11:12:24] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
184.75.32.107:3831 - - [31/May/2015 11:12:26] "HTTP/1.1 GET /" - 404 Not Found
185.49.15.23:59063 - - [31/May/2015 11:22:10] "HTTP/1.1 GET testproxy.php" - 404 Not Found
222.186.34.30:1980 - - [31/May/2015 12:36:59] "HTTP/1.1 GET /manager/html" - 404 Not Found
179.127.40.219:6443 - - [31/May/2015 14:00:52] "HTTP/1.1 GET /" - 404 Not Found
94.102.49.168:49557 - - [31/May/2015 17:51:18] "HTTP/1.1 GET /cgi-bin/login.cgi" - 404 Not Found
94.102.49.168:48270 - - [31/May/2015 18:49:41] "HTTP/1.1 GET /cgi-bin/login.html" - 404 Not Found
115.239.248.2:4938 - - [01/Jun/2015 08:45:19] "HTTP/1.1 GET /manager/html" - 404 Not Found
185.49.15.23:54980 - - [01/Jun/2015 13:38:36] "HTTP/1.1 GET testproxy.php" - 404 Not Found
77.50.107.12:46203 - - [01/Jun/2015 17:09:07] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
77.50.107.12:46205 - - [01/Jun/2015 17:09:07] "HTTP/1.1 GET /" - 404 Not Found
89.248.172.27:42985 - - [01/Jun/2015 18:58:44] "HTTP/1.1 GET /rom-0" - 404 Not Found
89.248.172.27:42985 - - [01/Jun/2015 18:58:44] "HTTP/1.1 GET /" - 404 Not Found
89.248.172.27:43986 - - [01/Jun/2015 18:58:44] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
89.248.172.27:44546 - - [01/Jun/2015 18:58:44] "HTTP/1.1 GET /hndUnblock.cgi" - 404 Not Found
89.248.172.110:36465 - - [02/Jun/2015 00:02:36] "HTTP/1.1 GET /" - 404 Not Found
192.187.110.98:44136 - - [02/Jun/2015 12:23:31] "HTTP/1.1 GET testproxy.php" - 404 Not Found
185.25.151.159:42093 - - [02/Jun/2015 12:23:59] "HTTP/1.1 GET testproxy.php" - 404 Not Found
66.249.81.208:52623 - - [02/Jun/2015 15:17:11] "HTTP/1.1 GET /" - 404 Not Found
115.239.248.2:4026 - - [03/Jun/2015 10:11:56] "HTTP/1.1 GET /manager/html" - 404 Not Found
115.66.49.34:36862 - - [03/Jun/2015 16:48:56] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
115.66.49.34:36911 - - [03/Jun/2015 16:48:58] "HTTP/1.1 GET /" - 404 Not Found
31.44.70.158:7444 - - [03/Jun/2015 17:13:07] "HTTP/1.1 GET /" - 404 Not Found
222.186.21.48:2650 - - [03/Jun/2015 18:15:18] "HTTP/1.1 GET /manager/html" - 404 Not Found
89.248.172.27:47399 - - [04/Jun/2015 00:42:53] "HTTP/1.1 GET /rom-0" - 404 Not Found
89.248.172.27:47399 - - [04/Jun/2015 00:42:53] "HTTP/1.1 GET /" - 404 Not Found
89.248.172.27:48272 - - [04/Jun/2015 00:42:53] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
89.248.172.27:48806 - - [04/Jun/2015 00:42:53] "HTTP/1.1 GET /hndUnblock.cgi" - 404 Not Found
66.249.81.211:51622 - - [04/Jun/2015 09:48:01] "HTTP/1.1 GET /" - 404 Not Found
82.159.210.60:51646 - - [04/Jun/2015 18:54:17] "HTTP/1.1 GET /Diagnostics.asp" - 404 Not Found
94.102.49.168:59307 - - [05/Jun/2015 03:20:18] "HTTP/1.1 GET /cgi-bin/login.cgi" - 404 Not Found
94.102.49.168:59261 - - [05/Jun/2015 07:28:32] "HTTP/1.1 GET /cgi-bin/login.cgi" - 404 Not Found
149.129.100.44:1903 - - [05/Jun/2015 11:40:24] "HTTP/1.1 GET /tmUnblock.cgi" - 404 Not Found
95.215.9.222:50000 - - [05/Jun/2015 13:31:18] "HTTP/1.1 GET /" - 404 Not Found
193.107.17.70:45518 - - [05/Jun/2015 19:11:01] "HTTP/1.1 GET /" - 404 Not Found
66.249.81.208:41242 - - [06/Jun/2015 00:50:12] "HTTP/1.1 GET /" - 404 Not Found
222.186.21.182:4555 - - [06/Jun/2015 19:06:07] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:4545 - - [06/Jun/2015 19:06:19] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:1458 - - [06/Jun/2015 19:06:28] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:2993 - - [06/Jun/2015 19:06:38] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:3641 - - [06/Jun/2015 19:06:50] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:1602 - - [06/Jun/2015 19:07:00] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:1927 - - [06/Jun/2015 19:07:13] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:3671 - - [06/Jun/2015 19:07:22] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:4809 - - [06/Jun/2015 19:07:31] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.21.182:2964 - - [06/Jun/2015 19:07:44] "HTTP/1.1 GET /manager/html" - 404 Not Found
222.186.34.30:4430 - - [06/Jun/2015 19:18:39] "HTTP/1.1 GET /manager/html" - 404 Not Found
141.255.157.117:54593 - - [06/Jun/2015 22:24:38] "HTTP/1.1 GET /" - 404 Not Found
115.239.248.2:4127 - - [07/Jun/2015 01:01:19] "HTTP/1.1 GET /manager/html" - 404 Not Found
31.44.64.11:7672 - - [07/Jun/2015 02:40:10] "HTTP/1.1 GET /" - 404 Not Found
193.107.17.70:35813 - - [07/Jun/2015 16:54:25] "HTTP/1.1 GET /" - 404 Not Found
61.240.144.65:60000 - - [07/Jun/2015 23:52:07] "HTTP/1.1 GET /" - 404 Not Found
169.54.233.120:21188 - - [08/Jun/2015 01:53:06] "HTTP/1.1 GET /" - 404 Not Found
95.215.9.222:50000 - - [08/Jun/2015 14:51:27] "HTTP/1.1 GET /" - 404 Not Found
193.107.17.70:48237 - - [08/Jun/2015 17:40:40] "HTTP/1.1 GET /" - 404 Not Found
66.102.6.226:37377 - - [08/Jun/2015 19:09:27] "HTTP/1.1 GET /" - 404 Not Found
185.25.151.159:46925 - - [08/Jun/2015 21:06:48] "HTTP/1.1 GET testproxy.php" - 404 Not Found
60.191.129.138:2509 - - [09/Jun/2015 01:54:04] "HTTP/1.1 GET /manager/html" - 404 Not Found
66.102.6.234:37838 - - [09/Jun/2015 13:24:07] "HTTP/1.1 GET /" - 404 Not Found
109.128.130.78:53887 - - [19/Jun/2015 23:07:19] "HTTP/1.1 GET /expenses" - 404 Not Found
109.128.130.78:53925 - - [19/Jun/2015 23:09:27] "HTTP/1.1 GET /expenses" - 404 Not Found
109.128.130.78:54292 - - [19/Jun/2015 23:28:38] "HTTP/1.1 POST /expenses" - 404 Not Found
192.187.110.98:34114 - - [20/Jun/2015 02:10:48] "HTTP/1.1 GET testproxy.php" - 404 Not Found
95.215.9.222:50000 - - [20/Jun/2015 06:31:45] "HTTP/1.1 GET /" - 404 Not Found
185.49.15.23:43769 - - [20/Jun/2015 17:35:21] "HTTP/1.1 GET testproxy.php" - 404 Not Found
54.173.58.182:60000 - - [21/Jun/2015 21:07:21] "HTTP/1.1 GET /" - 404 Not Found
194.15.113.31:38379 - - [22/Jun/2015 08:32:43] "HTTP/1.1 GET remote.php" - 404 Not Found
91.236.75.4:50469 - - [22/Jun/2015 09:09:54] "HTTP/1.1 GET reader/about/" - 404 Not Found
80.79.113.190:59752 - - [22/Jun/2015 13:11:09] "HTTP/1.1 GET /" - 404 Not Found
91.236.75.4:60209 - - [23/Jun/2015 05:04:20] "HTTP/1.1 GET reader/about/" - 404 Not Found
66.186.188.227:2109 - - [23/Jun/2015 05:54:55] "HTTP/1.1 GET /manager/html" - 404 Not Found
185.49.15.23:44246 - - [23/Jun/2015 07:26:17] "HTTP/1.1 GET testproxy.php" - 404 Not Found
95.215.9.222:50000 - - [23/Jun/2015 07:50:47] "HTTP/1.1 GET /" - 404 Not Found
222.186.42.169:1887 - - [23/Jun/2015 14:40:09] "HTTP/1.1 GET /manager/html" - 404 Not Found
177.92.142.132:50509 - - [23/Jun/2015 18:45:36] "HTTP/1.1 GET /Ringing.at.your.dorbell!" - 404 Not Found
177.92.142.132:50529 - - [23/Jun/2015 18:45:36] "HTTP/1.1 GET /" - 404 Not Found
177.92.142.132:50554 - - [23/Jun/2015 18:45:37] "HTTP/1.1 GET /" - 404 Not Found
177.92.142.132:50575 - - [23/Jun/2015 18:45:37] "HTTP/1.1 GET /Diagnostics.asp" - 404 Not Found
177.92.142.132:50597 - - [23/Jun/2015 18:45:38] "HTTP/1.1 GET /" - 404 Not Found
177.92.142.132:50612 - - [23/Jun/2015 18:45:39] "HTTP/1.1 GET /" - 404 Not Found
177.92.142.132:50631 - - [23/Jun/2015 18:45:39] "HTTP/1.1 GET /" - 404 Not Found
222.186.21.60:4954 - - [24/Jun/2015 02:40:36] "HTTP/1.1 GET /manager/html" - 404 Not Found
80.79.113.190:58494 - - [25/Jun/2015 01:31:50] "HTTP/1.1 GET /script" - 404 Not Found
80.79.113.190:58546 - - [25/Jun/2015 01:31:51] "HTTP/1.1 GET /jenkins/script" - 404 Not Found
61.240.144.66:60000 - - [25/Jun/2015 11:38:04] "HTTP/1.1 GET /" - 404 Not Found
185.49.15.23:51415 - - [25/Jun/2015 16:16:39] "HTTP/1.1 GET testproxy.php" - 404 Not Found
146.185.239.100:59238 - - [26/Jun/2015 00:17:40] "HTTP/1.1 GET " - 404 Not Found
66.186.188.227:4730 - - [26/Jun/2015 04:38:07] "HTTP/1.1 GET /manager/html" - 404 Not Found
66.186.188.227:1078 - - [26/Jun/2015 04:38:08] "HTTP/1.1 GET /manager/html" - 404 Not Found
66.186.188.227:3080 - - [26/Jun/2015 04:38:10] "HTTP/1.1 GET /manager/html" - 404 Not Found
103.25.130.105:58691 - - [27/Jun/2015 02:14:53] "HTTP/1.1 HEAD /" - 404 Not Found
31.44.64.203:7385 - - [27/Jun/2015 04:43:51] "HTTP/1.1 GET /" - 404 Not Found
91.236.75.4:60811 - - [27/Jun/2015 13:26:14] "HTTP/1.1 GET reader/about/" - 404 Not Found
95.215.9.222:50000 - - [27/Jun/2015 14:29:33] "HTTP/1.1 GET /" - 404 Not Found
185.49.15.23:46816 - - [27/Jun/2015 21:44:58] "HTTP/1.1 GET testproxy.php" - 404 Not Found
192.168.0.1:55232 - - [28/Jun/2015 14:05:39] "HTTP/1.1 GET /expenses'" - 404 Not Found
192.168.0.1:55232 - - [28/Jun/2015 14:05:39] "HTTP/1.1 GET /favicon.ico" - 404 Not Found
192.168.0.1:55232 - - [28/Jun/2015 14:05:43] "HTTP/1.1 GET /expenses" - 404 Not Found
192.168.0.1:55232 - - [28/Jun/2015 14:05:45] "HTTP/1.1 GET /expenses" - 404 Not Found
192.168.0.1:51002 - - [28/Jun/2015 14:10:03] "HTTP/1.1 POST /expenses/" - 200 OK
192.168.0.1:51041 - - [28/Jun/2015 14:10:39] "HTTP/1.1 POST /expenses" - 404 Not Found
192.168.0.1:51041 - - [28/Jun/2015 14:10:42] "HTTP/1.1 POST /expenses/" - 200 OK
Traceback (most recent call last):
  File "/usr/local/lib/python2.7/dist-packages/web/application.py", line 236, in process
    return self.handle()
  File "/usr/local/lib/python2.7/dist-packages/web/application.py", line 227, in handle
    return self._delegate(fn, self.fvars, args)
  File "/usr/local/lib/python2.7/dist-packages/web/application.py", line 409, in _delegate
    return handle_class(cls)
  File "/usr/local/lib/python2.7/dist-packages/web/application.py", line 384, in handle_class
    return tocall(*args)
  File "/home/macchiato/development/server-bare/server.py", line 29, in POST
    resp = api.API().add_expense(jsondata)
  File "/home/macchiato/development/server-bare/api.py", line 18, in add_expense
    processed_json = json.loads(json_expense)							# interpret the JSON
  File "/usr/lib/python2.7/json/__init__.py", line 326, in loads
    return _default_decoder.decode(s)
  File "/usr/lib/python2.7/json/decoder.py", line 365, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File "/usr/lib/python2.7/json/decoder.py", line 383, in raw_decode
    raise ValueError("No JSON object could be decoded")
ValueError: No JSON object could be decoded

91.182.240.120:58804 - - [28/Jun/2015 17:35:46] "HTTP/1.1 POST /expenses/" - 500 Internal Server Error
91.182.240.120:58940 - - [28/Jun/2015 17:41:48] "HTTP/1.1 GET /expenses/" - 200 OK
91.182.240.120:58941 - - [28/Jun/2015 17:41:52] "HTTP/1.1 GET /favicon.ico" - 404 Not Found
192.168.0.1:56380 - - [28/Jun/2015 17:46:45] "HTTP/1.1 POST /expenses/" - 200 OK
192.168.0.1:56456 - - [28/Jun/2015 17:51:24] "HTTP/1.1 POST /expenses/" - 200 OK
192.168.0.1:52228 - - [28/Jun/2015 18:01:22] "HTTP/1.1 POST /expenses/" - 200 OK
